"","발생_순번","발생_일시","항목_코드","경보.단계","지역명","권역명","발령일자","발령시간","발령농도","해제일자","해제시간","해제농도"
"161",58,"2022-01-10","PM25","주의보","경남","거창권역","2022-01-10","11:00",84,"2022-01-11","03:00",30
"162",57,"2022-01-10","PM25","주의보","경남","함안권역","2022-01-10","11:00",80,"2022-01-11","07:00",30
"163",56,"2022-01-10","PM25","주의보","경남","김해권역","2022-01-10","11:00",77,"2022-01-11","08:00",31
"164",55,"2022-01-10","PM25","주의보","경남","진주권역","2022-01-10","11:00",79,"2022-01-11","05:00",30
"165",52,"2022-01-10","PM25","주의보","전북","중부권역","2022-01-10","10:00",79,"2022-01-11","01:00",33
"166",50,"2022-01-10","PM25","주의보","대구","대구권역","2022-01-10","09:00",81,"2022-01-11","05:00",30
"167",49,"2022-01-10","PM25","주의보","경남","고성권역","2022-01-10","09:00",85,"2022-01-11","04:00",33
"168",38,"2022-01-09","PM25","주의보","경북","서부권역","2022-01-09","21:00",79,"2022-01-11","05:00",31
"169",37,"2022-01-09","PM25","주의보","충북","남부권역","2022-01-09","21:00",87,"2022-01-11","06:00",33
"170",36,"2022-01-09","PM25","주의보","대전","서부권역","2022-01-09","21:00",76,"2022-01-11","01:00",30
"171",35,"2022-01-09","PM25","주의보","대전","동부권역","2022-01-09","21:00",77,"2022-01-11","01:00",28
"172",34,"2022-01-09","PM25","주의보","충남","동남부권역","2022-01-09","20:00",78,"2022-01-11","00:00",30
"173",33,"2022-01-09","PM25","주의보","충북","북부권역","2022-01-09","20:00",78,"2022-01-11","04:00",30
"174",32,"2022-01-09","PM25","주의보","세종","세종권역","2022-01-09","18:00",80,"2022-01-11","00:00",29
"175",31,"2022-01-09","PM25","주의보","전북","서부권역","2022-01-09","13:00",79,"2022-01-10","22:00",32
"176",29,"2022-01-09","PM25","주의보","충북","중부권역","2022-01-09","13:00",90,"2022-01-11","01:00",33
"177",28,"2022-01-09","PM25","주의보","강원","영서남부","2022-01-09","13:00",75,"2022-01-11","05:00",33
"178",27,"2022-01-09","PM25","주의보","강원","영서북부","2022-01-09","11:00",83,"2022-01-11","05:00",30
"179",26,"2022-01-09","PM25","주의보","경기","남부권","2022-01-09","05:00",84,"2022-01-11","05:00",31
"180",25,"2022-01-09","PM25","주의보","경기","동부권","2022-01-09","02:00",80,"2022-01-10","22:00",33
"181",24,"2022-01-09","PM25","주의보","경기","중부권","2022-01-09","01:00",84,"2022-01-10","22:00",32
"182",15,"2022-01-09","PM25","주의보","충남","서부권역","2022-01-09","04:00",86,"2022-01-10","20:00",32
"183",14,"2022-01-09","PM25","주의보","충남","북부권역","2022-01-09","04:00",81,"2022-01-10","23:00",28
"184",11,"2022-01-08","PM25","주의보","인천","동남부권역","2022-01-09","00:00",83,"2022-01-10","20:00",27
"185",5,"2022-01-08","PM25","주의보","인천","강화권역","2022-01-08","23:00",86,"2022-01-11","02:00",33
"186",4,"2022-01-08","PM25","주의보","인천","서부권역","2022-01-08","23:00",82,"2022-01-10","22:00",32
"187",3,"2022-01-08","PM25","주의보","인천","영종·영흥권역","2022-01-08","22:00",81,"2022-01-10","19:00",33
"188",2,"2022-01-08","PM25","주의보","경기","북부권","2022-01-08","22:00",81,"2022-01-11","03:00",30
"189",1,"2022-01-08","PM25","주의보","서울","서울권역","2022-01-08","22:00",82,"2022-01-10","21:00",23
